rolename,funders,eligibilityCriteria_en,awardPeriod,procurementMethodRationale_ru,tender_guarantee,auctionUrl,enquiryPeriod,_rev,submissionMethod,complaints,submissionMethodDetails_ru,procurementMethodType,awardCriteria,questions,owner,doc_id,__parent__,revisions,documents,title,lots,procuringEntity,owner_token,tenderID,numberOfBidders,procurementMethodRationale,procurementMethodRationale_en,description_ru,dateModified,status,awardCriteriaDetails_ru,tenderPeriod,eligibilityCriteria,description,contracts,auctionPeriod,title_en,description_en,eligibilityCriteria_ru,tender_value,awards,value,date,awardCriteriaDetails_en,tender_minimalStep,procurementMethod,doc_type,guarantee,submissionMethodDetails,items,bids,cancellations,awardCriteriaDetails,_attachments,numberOfBids,minimalStep,mode,title_ru,next_check,_id,features,submissionMethodDetails_en,hasEnquiries,agreements
active.qualification,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1
edit_active.awarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedded,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
edit_active.auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edit_active.tendering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plain,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1
edit_agreement_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
default,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
active.auction,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,,1,1,1,1,,1,1,1,
cancelled,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1
edit_active.qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
view,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1
draft.unsuccessful,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,,1,1,1,1,,1,1,1,1
